DEBUG:18/03/2025 16:59:38 Medida(media, maximo)=-1,-1 dB    Time=1742313578.242226

DEBUG:18/03/2025 16:59:39 Medida(media, maximo)=-1,-1 dB    Time=1742313579.2441514

DEBUG:18/03/2025 16:59:40 Medida(media, maximo)=-1,-1 dB    Time=1742313580.2454257

DEBUG:18/03/2025 16:59:41 Medida(media, maximo)=-1,-1 dB    Time=1742313581.2464375

DEBUG:18/03/2025 16:59:42 Medida(media, maximo)=-1,-1 dB    Time=1742313582.247397

DEBUG:18/03/2025 16:59:43 Medida(media, maximo)=-1,-1 dB    Time=1742313583.2480266

DEBUG:18/03/2025 16:59:44 Medida(media, maximo)=-1,-1 dB    Time=1742313584.2489023

DEBUG:18/03/2025 16:59:45 Medida(media, maximo)=-1,-1 dB    Time=1742313585.2501156

DEBUG:18/03/2025 16:59:46 Medida(media, maximo)=-1,-1 dB    Time=1742313586.2522519

DEBUG:18/03/2025 16:59:47 Medida(media, maximo)=-1,-1 dB    Time=1742313587.2543664

DEBUG:18/03/2025 16:59:47 Executing finally clause.
DEBUG:18/03/2025 17:00:52 Medida(media, maximo)=-1,-1 dB    Time=1742313652.7054212

DEBUG:18/03/2025 17:00:53 Medida(media, maximo)=-1,-1 dB    Time=1742313653.7072356

DEBUG:18/03/2025 17:00:54 Medida(media, maximo)=-1,-1 dB    Time=1742313654.7088623

DEBUG:18/03/2025 17:00:55 Medida(media, maximo)=-1,-1 dB    Time=1742313655.710127

DEBUG:18/03/2025 17:00:56 Medida(media, maximo)=-1,-1 dB    Time=1742313656.7113452

DEBUG:18/03/2025 17:00:57 Medida(media, maximo)=-1,-1 dB    Time=1742313657.7117906

DEBUG:18/03/2025 17:00:58 Medida(media, maximo)=-1,-1 dB    Time=1742313658.7124038

DEBUG:18/03/2025 17:00:59 Medida(media, maximo)=-1,-1 dB    Time=1742313659.7140627

DEBUG:18/03/2025 17:01:00 Medida(media, maximo)=-1,-1 dB    Time=1742313660.7152438

DEBUG:18/03/2025 17:01:01 Medida(media, maximo)=-1,-1 dB    Time=1742313661.7169187

DEBUG:18/03/2025 17:01:01 Executing finally clause.
DEBUG:18/03/2025 17:02:16 Medida(media, maximo)=-1,-1 dB    Time=1742313736.4085166

DEBUG:18/03/2025 17:02:17 Medida(media, maximo)=-1,-1 dB    Time=1742313737.4096336

DEBUG:18/03/2025 17:02:18 Medida(media, maximo)=-1,-1 dB    Time=1742313738.411645

DEBUG:18/03/2025 17:02:19 Medida(media, maximo)=-1,-1 dB    Time=1742313739.4147513

DEBUG:18/03/2025 17:02:20 Medida(media, maximo)=-1,-1 dB    Time=1742313740.415553

DEBUG:18/03/2025 17:02:21 Medida(media, maximo)=-1,-1 dB    Time=1742313741.4175894

DEBUG:18/03/2025 17:02:22 Medida(media, maximo)=-1,-1 dB    Time=1742313742.4199727

DEBUG:18/03/2025 17:02:23 Medida(media, maximo)=-1,-1 dB    Time=1742313743.421457

DEBUG:18/03/2025 17:02:24 Medida(media, maximo)=-1,-1 dB    Time=1742313744.4230194

DEBUG:18/03/2025 17:02:25 Medida(media, maximo)=-1,-1 dB    Time=1742313745.4236188

DEBUG:18/03/2025 17:02:25 Executing finally clause.
DEBUG:18/03/2025 17:04:46 Medida(media, maximo)=-1,-1 dB    Time=1742313886.4441469

DEBUG:18/03/2025 17:04:47 Medida(media, maximo)=-1,-1 dB    Time=1742313887.445944

DEBUG:18/03/2025 17:04:48 Medida(media, maximo)=-1,-1 dB    Time=1742313888.4467852

DEBUG:18/03/2025 17:04:49 Medida(media, maximo)=-1,-1 dB    Time=1742313889.448018

DEBUG:18/03/2025 17:04:50 Medida(media, maximo)=-1,-1 dB    Time=1742313890.4488742

DEBUG:18/03/2025 17:04:51 Medida(media, maximo)=-1,-1 dB    Time=1742313891.4501317

DEBUG:18/03/2025 17:04:52 Medida(media, maximo)=-1,-1 dB    Time=1742313892.4514477

DEBUG:18/03/2025 17:04:53 Medida(media, maximo)=-1,-1 dB    Time=1742313893.4526734

DEBUG:18/03/2025 17:04:54 Medida(media, maximo)=-1,-1 dB    Time=1742313894.453615

